"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
4224,AE134,1132,스마트도시과,CTV001,사창-01143,사창리875-3,"41590400","41590400","4159040022","875-3",KT, ,"37.08893","126.968054","197159.748149875","498882.74915178","1",CTM002, 
1498,AE134,190,스마트도시과,CTV001,금곡-00191,금곡리190-7,"41590600","41590139","4159013900","190-7",KT, ,"37.180687","127.078133","206938.285011084","509068.34923428","1",CTM001, 
1515,AE134,553,스마트도시과,CTV001,상-00559,상봉초교정문앞,"41590253","41590253","4159025321","9-40",자가망, ,"37.218561","126.954093","195925.464818055","513269.776654365","3",CTM002, 
1532,AE134,3615,스마트도시과,CTV001,상-3629,상리477-33-검지(20차),"41590253","41590253","4159025321","477-33",자가망, ,"37.217291","126.944793","195099.968989796","513129.313658116","4",CTM002, 
292,AE134,2935,스마트도시과,CTV001,능-02964,능동1052-6삼성차서비스뒤삼거리,"41590587","41590118","4159011800","1185",동탄1자가망, ,"37.220378","127.060528","205372.109874318","513472.158488178","1",CTM001, 
311,AE134,3474,스마트도시과,CTV001,능-03518,능동어린이공원[1],"41590520","41590118","4159011800","650-18",자가망, ,"37.201318","127.048557","204310.700496626","511356.237222119","5",CTM001, 
329,AE134,1650,스마트도시과,CTV001,기산-01662,진안동새마을회관사거리,"41590520","41590119","4159011900","440-8",자가망, ,"37.226803","127.036074","203201.429657653","514184.090116431","3",CTM001, 
932,AE134,4546,스마트도시과,CTV001,오산-04563,자라뫼공원4,"41590600","41590129","4159012900","967-1561",자가망, ,"37.193255","127.085746","207612.999999876","510463.750102176","4",CTM001, 
949,AE134,2433,스마트도시과,CTV001,청계-02461,청목초등학교앞사거리쪽,"41590588","41590130","4159013000","539",동탄2자가망, ,"37.197346","127.120201","210671.623791036","510921.071189722","4",CTM001, 
2191,AE134,3881,스마트도시과,CTV001,제암-3896,제암리340-4-검지(20차),"41590259","41590259","4159025923","340-4",자가망, ,"37.130068","126.896886","190837.306613259","503452.731240226","1",CTM002, 
2210,AE134,1947,스마트도시과,CTV001,상신-01963,상신리598-66,"41590259","41590259","4159025924","598-66",KT, ,"37.104217","126.902898","191368.571453943","500583.282379","1",CTM002, 
1545,AE134,4405,스마트도시과,CTV001,봉담2-011,SA-011,"41590253","41590253","4159025321","184-2",봉담2자가망, ,"37.230064","126.941441","194803.311661728","514547.019160492","4",CTM002, 
1563,AE134,4423,스마트도시과,CTV001,봉담2-029,SA-029,"41590253","41590253","4159025321","50-62",봉담2자가망, ,"37.22636","126.944846","195105.241445421","514135.760645406","4",CTM002, 
