도형번호,지형지물부호,관리번호,관리기관,행정읍면동,도엽번호,설치일자,정류장종류,정류장명,정류장유형,대장초기화여부,비고,도로구간번호,
716,AE260,9.99E+11,MNG259,41590330,376160654D,2016-09-01,AEE003, ,STT002,1,경기화성바이오밸리,99916121982,
717,AE260,9.99E+11,MNG259,41590330,376160655D,2016-09-01,AEE003, ,STT002,1,경기화성바이오밸리,99916121973,
718,AE260,9.99E+11,MNG259,41590330,376160665D,2016-09-01,AEE003, ,STT002,1,경기화성바이오밸리,99916121912,
719,AE260,9.99E+11,MNG259,41590330,376160664D,2016-09-01,AEE003, ,STT002,1,경기화성바이오밸리,99916121919,
720,AE260,99920150403,MNG259,41590330,376160623A,1990-01-01,AEE000, ,STT000,1,경기화성바이오밸리,99916122055,
721,AE260,2.15E+11,MNG259,41590590,377130394A,2014-01-01,AEE003,모아미래도KCC스위첸,STT002,1, ,21530393069,
722,AE260,2.15E+11,MNG259,41590588,377130393A,2014-01-01,AEE003,금성백조아파트,STT002,1, ,21530393033,
723,AE260,2.15E+11,MNG259,41590590,377130393A,2014-01-01,AEE003,금성백조아파트,STT002,1, ,21530393033,
724,AE260,2.15E+11,MNG259,41590588,377130391B,2014-01-01,AEE003,계룡리슈빌GS자이,STT002,1, ,21530391037,
725,AE260,2.15E+11,MNG259,41590590,377130391B,2014-01-01,AEE003,계룡리슈빌GS자이,STT002,1, ,21530391037,
726,AE260,2.15E+11,MNG259,41590590,377130200B,2014-01-01,AEE003,우남퍼스트빌,STT002,1, ,21530200065,
727,AE260,2.15E+11,MNG259,41590588,377130391A,2014-01-01,AEE003,우남퍼스트빌,STT002,1, ,21530200065,
728,AE260,2.15E+11,MNG259,41590588,377130804D,2014-01-01,AEE003, ,STT001,1, ,21530804538,
729,AE260,2.12E+11,MNG259,41590370,376161735B,2015-01-01,AEE003,장안초교,STT002,1,조암지구도시개발사업 주변도로(대로3-1호선) 개설공사 GIS DB구축 사업,21150804004,
730,AE260,2.12E+11,MNG259,41590370,376161725D,2015-01-01,AEE003,장안초교,STT002,1,조암지구도시개발사업 주변도로(대로3-1호선) 개설공사 GIS DB구축 사업,21150804005,
731,AE260,2.12E+11,MNG259,41590370,376161726C,2015-01-01,AEE003,조암우체국,STT002,1,조암지구도시개발사업 주변도로(대로3-1호선) 개설공사 GIS DB구축 사업,21150804014,
732,AE260,2.12E+11,MNG259,41590370,376161726C,2015-01-01,AEE003,조암우체국,STT002,1,조암지구도시개발사업 주변도로(대로3-1호선) 개설공사 GIS DB구축 사업,21150804014,
733,AE260,2.12E+11,MNG259,41590253,376160564D,2016-11-01,AEE003,임광그대가3단지,STT002,1,봉담 도시계획도로(중1-1호선) 외1개소 개설공사 GIS DB 구축용역,21161118009,
734,AE260,2.12E+11,MNG259,41590253,376160564D,2016-11-01,AEE005,임광그대가3단지,STT002,1,봉담 도시계획도로(중1-1호선) 외1개소 개설공사 GIS DB 구축용역,21161118009,
735,AE260,2.12E+11,MNG259,41590253,376160564D,2016-11-01,AEE001,공항버스,STT001,1,봉담 도시계획도로(중1-1호선) 외1개소 개설공사 GIS DB 구축용역,21161118012,
736,AE260,2.12E+11,MNG259,41590253,376160564C,2016-11-01,AEE003,명칭없슴,STT002,1,봉담 도시계획도로(중1-1호선) 외1개소 개설공사 GIS DB 구축용역,21161118012,
737,AE260,99920150024,MNG259,41590360,376161377A,1990-01-01,AEE000, ,STT000,1, ,99920150356,
738,AE260,99920150174,MNG259,41590360,376161377A,1990-01-01,AEE000, ,STT000,1, ,99920150356,
739,AE260,99920150172,MNG259,41590360,376161385B,1990-01-01,AEE000, ,STT000,1, ,99920150491,
740,AE260,9.00E+11,MNG259,41590340,376160131D,2013-11-01,AEE004,용포1리,STT002,1,정류/마을/용포1리/철골조/22번,90000441607,
741,AE260,2.15E+11,MNG259,41590590,377130383C,2014-01-01,AEE003,상록APT,STT002,1, ,21530383507,
742,AE260,99920150016,MNG259,41590256,376161190B,1990-01-01,AEE000, ,STT000,1, ,99920150512,
743,AE260,99920150020,MNG259,41590370,376161264D,1990-01-01,AEE000, ,STT000,1, ,99920150758,
744,AE260,99920150021,MNG259,41590256,376161264C,1990-01-01,AEE000, ,STT000,1, ,99920150758,
745,AE260,99920150013,MNG259,41590256,376161625A,1990-01-01,AEE000, ,STT000,1, ,99920150765,
746,AE260,99920150162,MNG259,41590256,376161645C,1990-01-01,AEE000, ,STT000,1, ,99920150766,
