도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
13086,AE914,109932,41590560,376160537D,MNG244,1, ,
13087,AE916,500539,41590410,377131125A,MNG244,1, ,
13088,AE914,505433,41590520,377130701A,MNG244,1, ,
13089,AE914,411501,41590585,377130266B,MNG244,1, ,
13090,AE914,102507,41590253,376160566A,MNG244,1, ,
13091,AE914,505074,41590410,376161060B,MNG244,1, ,
13092,AE916,301796,41590340,376150579B,MNG244,1, ,
13093,AE914,201063,41590360,376160890D,MNG244,1, ,
13094,AE914,505790,41590410,377131126C,MNG244,1, ,
13095,AE914,103912,41590570,376160588C,MNG244,1, ,
13096,AE310,106033,41590410,376161026B,MNG244,1, ,
13097,AE916,99920151061,41590370,376161872D,MNG244,1, ,
13098,AE916,99920151062,41590370,376161871D,MNG244,1, ,
13099,AE915,99920151063,41590370,376161871D,MNG244,1, ,
13100,AE915,99920151064,41590370,376161871D,MNG244,1, ,
13101,AE914,201808,41590259,376161432D,MNG244,1, ,
13102,AE914,202340,41590400,376162015C,MNG244,1, ,
13103,AE914,105619,41590410,376161006D,MNG244,1, ,
13104,AE914,505132,41590410,377130661C,MNG244,1, ,
13105,AE914,505348,41590410,377130692A,MNG244,1, ,
13106,AE915,101762,41590253,376160551C,MNG244,1, ,
13107,AE915,107739,41590410,376161062A,MNG244,1, ,
13108,AE915,506450,41590570,377130182B,MNG244,1, ,
13109,AE914,109850,41590310,376160416C,MNG244,1, ,
13110,AE915,506906,41590570,377130195A,MNG244,1, ,
13111,AE916,99920158765,41590330,376160616D,MNG244,1, ,
13112,AE915,99920158792,41590330,376160613D,MNG244,1, ,
13113,AE915,99920158806,41590330,376160601B,MNG244,1, ,
13114,AE914,102568,41590253,376160565B,MNG244,1, ,
13115,AE914,505837,41590410,377131136B,MNG244,1, ,
13116,AE914,501049,41590520,377130160C,MNG244,1, ,
13117,AE915,506051,41590520,377130146A,MNG244,1, ,
13118,AE913,107643,41590410,376161069B,MNG244,1, ,
13119,AE914,202414,41590400,376161930C,MNG244,1, ,
13120,AE914,102668,41590560,376160570A,MNG244,1, ,
13121,AE915,300591,41590350,376151061A,MNG244,1, ,
13122,AE914,103670,41590253,376160573C,MNG244,1, ,
13123,AE915,506168,41590520,377130148D,MNG244,1, ,
13124,AE914,504165,41590520,377130261D,MNG244,1, ,
13125,AE915,506935,41590530,377130188D,MNG244,1, ,
13126,AE915,411232,41590587,377130281A,MNG244,1, ,
13127,AE914,300913,41590340,376150579C,MNG244,1, ,
13128,AE915,108414,41590410,376161076A,MNG244,1, ,
13129,AE916,100743,41590560,376160545A,MNG244,1, ,
13130,AE914,110172,41590360,376160912D,MNG244,1, ,
13131,AE914,108500,41590410,376161076C,MNG244,1, ,
13132,AE915,109251,41590410,376161097A,MNG244,1, ,
13133,AE914,503928,41590520,377130251C,MNG244,1, ,
13134,AE915,506419,41590570,377130172C,MNG244,1, ,
13135,AE915,507491,41590530,377130195D,MNG244,1, ,
13136,AE914,503426,41590550,377130244A,MNG244,1, ,
13137,AE914,501121,41590570,377130173B,MNG244,1, ,
