도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,설치일자,등기구모형,광원종류,대장초기화여부,비고,도로구간번호,
2914,AI010,100487,41590253,376160512D,MNG244,1900-01-01,LSH000,LCD002,1,2EA(청사초롱),3220321013,
2915,AI010,500358,41590520,377130178B,MNG244,1900-01-01,LSH000,LCD002,1,30179028,2701731012,
2916,AI010,401160,41590585,377130706B,MNG244,2006-04-01,LSH022,LCD999,1, ,2807819001,
2917,AI010,401161,41590585,377130706B,MNG244,2006-04-01,LSH022,LCD999,1, ,2807819001,
2918,AI010,100752,41590560,376160557C,MNG244,2001-01-01,LSH007,LCD002,1, ,2007021027,
2919,AI010,401330,41590587,377130282B,MNG244,2006-04-01,LSH999,LCD999,1, ,2708219001,
2920,AI010,5.11E+11,41590600,377130739C,MNG244,2014-01-01,LSH999,LCD004,1,화성동탄 일반산업단지 조성공사 중 GIS구축,51130739016,
2921,AI010,401766,41590585,377130284A,MNG244,2006-04-01,LSH010,LCD999,1, ,2703519003,
2922,AI010,810039,41590262,376160283B,MNG244,1900-01-01,LSH007,LCD002,1, ,1107733326,
2923,AI010,300050,41590310,376160406A,MNG244,1900-01-01,LSH002,LCD002,1, ,1208413025,
2924,AI010,300113,41590340,376150577A,MNG244,1900-01-01,LSH007,LCD002,1, ,2800113031,
2925,AI010,300043,41590310,376160406B,MNG244,1900-01-01,LSH007,LCD002,1, ,2802013002,
2926,AI010,300048,41590310,376160406B,MNG244,1900-01-01,LSH002,LCD002,1, ,2802013001,
2927,AI010,500544,41590520,377130179C,MNG244,1900-01-01,LSH000,LCD002,1,30189024,2703431003,
2928,AI010,500259,41590520,377130168B,MNG244,1900-01-01,LSH000,LCD002,1,30169001,2801031003,
2929,AI010,500787,41590410,376161040B,MNG244,2004-01-01,LSH007,LCD002,1,30631004,1331531001,
2930,AI010,100860,41590253,376160577A,MNG244,1900-01-01,LSH000,LCD002,1,일반형,2501321014,
2931,AI010,1.00E+12,41590256,376161725B,MNG244,2010-01-01,LSH000,LCD002,1, ,99617250008,
2932,AI010,500283,41590520,377130177B,MNG244,1900-01-01,LSH002,LCD002,1,30177003,9013131004,
2933,AI010,500482,41590520,377130177C,MNG244,1900-01-01,LSH002,LCD002,1,30187016,9014231002,
2934,AI010,401528,41590587,377130291B,MNG244,2006-04-01,LSH022,LCD999,1, ,2801419001,
2935,AI010,401527,41590587,377130291B,MNG244,2006-04-01,LSH022,LCD999,1, ,2801419001,
2936,AI010,401506,41590585,377130286D,MNG244,2006-04-01,LSH999,LCD999,1, ,2100219039,
2937,AI010,401907,41590585,377130283C,MNG244,2006-04-01,LSH022,LCD999,1, ,2804319001,
2938,AI010,500620,41590530,377130197B,MNG244,1900-01-01,LSH002,LCD002,1,30198011,2706831008,
2939,AI010,100002,41590253,376160903A,MNG244,2003-01-01,LSH007,LCD002,1, ,1332211006,
